=== 執行記錄開始: 2026-06-09T13:28:16.323548 ===
模式: DRY-RUN（乾跑）
runtime: k8s
目標: nextcloud/nextcloud-5659bc4574-fdwnl
使用者來源: occ user:list（未設定 ENV_NEXTCLOUD_*，改用容器內 occ）
透過 occ 取得 502 位使用者
排除 1 位: ['admin']
目標帳號數: 501
清檔模式: skeleton
quota: 0 B
其他設定: {'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
============================================================
複製腳本與設定到遠端...
已設定遠端檔案權限（owner=www-data）: /tmp/batch_provision.php, /tmp/batch_config.json
執行 batch_provision.php...
✓ 8E5FA7ED-DB58-4DA2-B119-41F6485AD929 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ BD2EE61A-9933-45B3-8171-9A579231D9B4 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 135D1221-09B1-4753-8D87-494DF874BCDF | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ C51C0EDC-1CA0-47AB-B410-836C2CF534AA | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 4F4BE8B7-435C-4513-B116-7AA3F34F4CE5 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 58BFA2D0-D549-4A6C-A1AE-8657768E94D6 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ A13AC91D-6836-4798-B8E3-6B4F5BAAB2C7 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 499F68FA-7680-421E-BDFC-01574BCA3203 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 635010D1-A28E-4288-A617-C7376CC37226 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ C1D4AEA2-AB04-4298-B0E2-A83C20E195FC | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 0ACD4150-B479-4200-B103-DF897E4DC7C6 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 1D982426-4BBC-442C-952D-069E0137D6DB | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ F1FC8B2D-ADB3-4A6F-BBEC-A5D87B74FCC2 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 6BAACD32-8A6B-4C60-9E0D-A6FD274965E5 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ DBCB11E2-1581-45B2-AAA7-BB590D0DDD1C | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 0A3CE886-985B-41E1-BEE8-8E596EBAC3DF | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 41C31FDD-3DC9-40ED-897A-A0A45E10C2DD | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ EDDE714A-443D-4979-AA11-1B094672A2D7 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 8219A283-277F-415A-97AB-33C481A87C49 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ E049C4C8-ECD5-4313-B93B-11B532F56A8B | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 33BCB502-B1CE-47E5-AA63-D70E90AC841C | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 67DCDA36-2A37-42FD-9DBC-DCF1B3989EC8 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 6F18991E-DAF0-43C6-A40D-E22B3AAD1080 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 07B63A56-04B8-4BE5-A739-E444012E04BF | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 27173D84-AAB0-40A6-A49C-DC3718B0957A | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 5166DEE3-5D30-4977-92D2-29FF24AF0748 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ CD9CF761-CD8A-454C-9095-229DDCF99D30 | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ 688B0E15-18B1-40A4-9CBC-4DE6F2952AFC | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
✓ E9FFDCF5-E0A2-47AC-A4EB-959439FBFF9A | 刪除 0 項 | quota=0 B | user_settings={'recommendations': {'enabled': '0'}, 'text': {'workspace_enabled': '0'}}
